id,label
1,44
2,16
3,98
4,177
5,177
6,96
7,44
8,16
9,16
10,16
11,16
12,16
13,17
14,16
15,24
16,16
17,3
18,24
19,44
20,10
21,130
22,96
23,98
24,16
25,16
26,24
27,10
28,44
29,16
30,17
31,44
32,44
33,10
34,44
35,44
36,95
37,16
38,16
39,96
40,16
41,96
42,16
43,44
44,89
45,96
46,44
47,16
48,16
49,16
50,44
51,36
52,16
53,16
54,17
55,106
56,44
57,16
58,17
59,16
60,44
61,130
62,16
63,37
64,89
65,44
66,177
67,44
68,16
69,17
70,17
71,16
72,96
73,17
74,26
75,10
76,177
77,87
78,16
79,130
80,17
81,177
82,44
83,17
84,55
85,98
86,30
87,96
88,16
89,42
90,16
91,17
92,89
93,16
94,16
95,16
96,177
97,44
98,16
99,16
100,44
101,44
102,16
103,98
104,16
105,30
106,87
107,95
108,16
109,10
110,89
111,10
112,16
113,16
114,130
115,17
116,27
117,16
118,16
119,44
120,16
121,17
122,16
123,17
124,10
125,177
126,130
127,17
128,44
129,44
130,16
131,17
132,16
133,16
134,16
135,200
136,44
137,200
138,44
139,16
140,16
141,106
142,16
143,200
144,177
145,16
146,17
147,26
148,44
149,130
150,96
151,16
152,24
153,96
154,16
155,44
156,16
157,16
158,177
159,16
160,44
161,44
162,177
163,16
164,44
165,44
166,177
167,17
168,96
169,44
170,16
171,17
172,16
173,16
174,42
175,16
176,16
177,17
178,44
179,44
180,16
181,16
182,44
183,17
184,16
185,17
186,68
187,44
188,44
189,30
190,96
191,130
192,16
193,44
194,16
195,42
196,16
197,44
198,16
199,96
200,16
201,44
202,44
203,69
204,16
205,177
206,79
207,16
208,17
209,16
210,177
211,16
212,177
213,16
214,16
215,130
216,44
217,109
218,10
219,44
220,44
221,139
222,44
223,44
224,181
225,16
226,37
227,16
228,44
229,16
230,17
231,96
232,24
233,16
234,16
235,44
236,44
237,181
238,44
239,44
240,96
241,16
242,16
243,16
244,44
245,16
246,16
247,16
248,44
249,44
250,17
251,16
252,10
253,16
254,10
255,98
256,16
257,16
258,16
259,96
260,16
261,16
262,16
263,16
264,10
265,10
266,16
267,16
268,17
269,44
270,10
271,108
272,139
273,44
274,10
275,16
276,16
277,49
278,89
279,44
280,16
281,130
282,16
283,16
284,16
285,44
286,200
287,44
288,16
289,44
290,44
291,16
292,177
293,17
294,16
295,96
296,16
297,16
298,16
299,200
300,16
301,44
302,16
303,177
304,16
305,16
306,130
307,44
308,26
309,16
310,16
311,119
312,16
313,16
314,44
315,130
316,16
317,44
318,16
319,16
320,130
321,106
322,44
323,10
324,161
325,17
326,17
327,44
328,44
329,177
330,10
331,96
332,44
333,177
334,16
335,44
336,16
337,58
338,16
339,16
340,96
341,16
342,16
343,44
344,16
345,96
346,44
347,130
348,89
349,70
350,16
351,16
352,16
353,30
354,16
355,24
356,16
357,96
358,17
359,44
360,44
361,16
362,44
363,89
364,10
365,16
366,44
367,16
368,10
369,16
370,16
371,16
372,89
373,10
374,16
375,16
376,44
377,16
378,16
379,26
380,139
381,16
382,16
383,95
384,16
385,177
386,16
387,44
388,44
389,42
390,44
391,95
392,200
393,96
394,16
395,17
396,16
397,16
398,42
399,16
400,16
401,96
402,16
403,44
404,96
405,17
406,16
407,16
408,16
409,16
410,10
411,69
412,44
413,96
414,44
415,44
416,130
417,96
418,16
419,44
420,27
421,10
422,44
423,44
424,10
425,44
426,26
427,16
428,16
429,16
430,67
431,44
432,16
433,16
434,44
435,16
436,16
437,177
438,16
439,177
440,17
441,10
442,16
443,44
444,16
445,27
446,139
447,130
448,44
449,89
450,44
451,16
452,10
453,14
454,44
455,16
456,44
457,10
458,16
459,44
460,16
461,177
462,10
463,17
464,16
465,177
466,16
467,16
468,44
469,16
470,16
471,44
472,37
473,95
474,44
475,44
476,16
477,130
478,16
479,16
480,16
481,130
482,44
483,44
484,109
485,16
486,10
487,16
488,16
489,16
490,16
491,16
492,177
493,16
494,37
495,17
496,35
497,44
498,16
499,200
500,16
501,96
502,44
503,16
504,89
505,16
506,10
507,37
508,95
509,15
510,16
511,96
512,16
513,44
514,44
515,96
516,130
517,16
518,16
519,17
520,16
521,16
522,17
523,17
524,30
525,44
526,30
527,16
528,17
529,1
530,44
531,177
532,16
533,44
534,89
535,16
536,16
537,16
538,44
539,17
540,24
541,17
542,44
543,96
544,77
545,96
546,44
547,16
548,96
549,16
550,16
551,16
552,44
553,16
554,44
555,44
556,10
557,10
558,10
559,177
560,106
561,16
562,44
563,106
564,17
565,44
566,26
567,96
568,16
569,44
570,16
571,16
572,16
573,68
574,16
575,44
576,16
577,17
578,44
579,16
580,12
581,27
582,44
583,37
584,24
585,95
586,44
587,16
588,17
589,109
590,10
591,16
592,16
593,17
594,44
595,17
596,89
597,130
598,177
599,16
600,161
601,24
602,96
603,16
604,44
605,96
606,17
607,10
608,44
609,44
610,16
611,10
612,37
613,16
614,16
615,37
616,24
617,130
618,17
619,95
620,44
621,177
622,16
623,44
624,16
625,16
626,44
627,16
628,16
629,44
630,16
631,16
632,17
633,44
634,17
635,16
636,44
637,17
638,44
639,16
640,96
641,96
642,44
643,17
644,16
645,96
646,36
647,17
648,16
649,10
650,44
651,44
652,16
653,16
654,16
655,17
656,16
657,177
658,16
659,130
660,17
661,16
662,177
663,177
664,16
665,130
666,89
667,16
668,10
669,16
670,24
671,44
672,96
673,83
674,30
675,177
676,16
677,16
678,16
679,79
680,10
681,16
682,16
683,16
684,44
685,44
686,89
687,44
688,30
689,95
690,16
691,16
692,16
693,187
694,44
695,177
696,130
697,36
698,16
699,16
700,89
701,30
702,96
703,44
704,95
705,44
706,96
707,177
708,10
709,44
710,16
711,177
712,10
713,16
714,16
715,130
716,161
717,16
718,16
719,44
720,16
721,96
722,44
723,27
724,24
725,16
726,58
727,130
728,96
729,130
730,24
731,16
732,96
733,44
734,16
735,44
736,24
737,96
738,16
739,89
740,44
741,10
742,177
743,16
744,16
